ticker,company_name,cik
NVDA,NVIDIA CORP,1045810
MU,MICRON TECHNOLOGY INC,723125
AVGO,Broadcom Inc.,1730168
TSM,TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD,1046179
VRT,Vertiv Holdings Co,1674101
SMCI,"Super Micro Computer, Inc.",1375365
INOD,INNODATA INC,903651
RR,RICHTECH ROBOTICS INC.,1963685
IREN,IREN Ltd,1878848
CIFR,Cipher Mining Inc.,1819989
RIOT,"Riot Platforms, Inc.",1167419
OKLO,Oklo Inc.,1849056
SMR,NUSCALE POWER Corp,1822966
CCJ,CAMECO CORP,1009001
VST,Vistra Corp.,1692819
NXE,NexGen Energy Ltd.,1698535
EOSE,"Eos Energy Enterprises, Inc.",1805077
QS,QuantumScape Corp,1811414